Employee_ID,Department,Role_Level,Tenure_Years,Work_Mode,Weekly_Hours,Manager_Support,Recognition,Career_Growth,Work_Life_Balance,Psychological_Safety,Compensation_Satisfaction,Engagement_Score,Satisfaction_Score,Burnout_Score,Absence_Days_Last_12M,Intent_to_Stay,Burnout_Risk,Engagement_Level
EMP1036,Marketing,Senior Manager,4.7,Hybrid,51.9,2,3,1,4,4,4,2.93,2.49,2.48,3,3.66,Moderate,Moderate
EMP1037,Sales,Manager,4.0,Remote,35.5,5,4,3,1,2,4,4.04,3.85,3.66,5,3.93,High,High
EMP1038,Engineering,Individual Contributor,5.0,Hybrid,49.7,5,4,4,4,4,1,4.15,4.01,1.83,4,5.0,Low,High
EMP1039,HR,Individual Contributor,2.1,On-site,49.7,2,3,3,2,3,5,2.58,3.42,2.45,4,4.22,Moderate,Low
EMP1040,Sales,Individual Contributor,2.3,Remote,30.0,4,2,5,4,2,1,2.84,3.41,1.74,3,3.9,Low,Moderate
EMP1041,Engineering,Senior Manager,2.1,On-site,38.4,2,5,3,5,4,5,3.43,3.43,1.9,6,4.97,Low,Moderate
EMP1042,Customer Success,Individual Contributor,7.7,Remote,42.2,5,4,4,5,5,1,4.09,3.74,1.52,2,5.0,Low,High
EMP1043,Engineering,Individual Contributor,8.8,On-site,43.7,5,3,4,2,5,2,3.35,3.3,2.45,3,3.91,Moderate,Moderate
EMP1044,IT,Individual Contributor,2.2,Hybrid,39.8,3,3,4,3,4,3,3.57,2.62,2.7,4,3.97,Moderate,Moderate
EMP1045,Engineering,Individual Contributor,2.3,Hybrid,39.4,3,2,5,5,2,3,2.11,3.26,1.76,6,3.75,Low,Low
EMP1046,Finance,Individual Contributor,5.5,Remote,56.7,1,2,4,1,4,4,2.84,2.4,4.06,7,2.82,High,Moderate
EMP1047,Sales,Individual Contributor,9.5,On-site,44.2,5,1,1,2,4,2,2.8,2.59,3.13,5,4.05,Moderate,Moderate
EMP1048,Customer Success,Individual Contributor,10.8,Hybrid,40.1,3,4,4,4,3,3,4.05,4.49,1.69,1,5.0,Low,High
EMP1049,Customer Success,Individual Contributor,2.1,Remote,44.7,2,1,3,4,5,4,3.47,3.17,1.14,3,3.99,Low,Moderate
EMP1050,Engineering,Manager,2.6,Hybrid,48.8,4,3,3,1,3,2,2.51,2.69,3.63,9,2.46,High,Low
EMP1051,Operations,Individual Contributor,4.3,Remote,45.4,2,5,3,5,3,3,3.72,3.3,3.81,6,3.14,High,High
EMP1052,Marketing,Manager,4.5,On-site,43.6,4,5,5,2,4,1,3.62,3.64,2.65,3,4.29,Moderate,Moderate
EMP1053,Operations,Individual Contributor,3.1,Remote,40.4,3,2,3,1,3,5,1.93,2.49,3.03,2,2.67,Moderate,Low
EMP1054,IT,Individual Contributor,1.8,Hybrid,40.4,1,5,5,5,5,2,3.83,4.36,1.91,3,4.82,Low,High
EMP1055,Customer Success,Manager,3.4,Hybrid,40.8,2,5,5,2,3,4,3.16,3.37,3.71,4,3.83,High,Moderate
EMP1056,Operations,Individual Contributor,10.8,Remote,47.4,2,5,4,4,5,2,3.66,3.28,2.52,4,4.92,Moderate,Moderate
EMP1057,Engineering,Individual Contributor,2.3,Remote,38.0,2,3,1,2,3,4,3.14,2.85,2.58,6,3.47,Moderate,Moderate
EMP1058,Engineering,Individual Contributor,4.2,Remote,47.8,4,5,4,3,5,2,4.06,3.3,3.06,2,3.36,Moderate,High
EMP1059,Engineering,Manager,15.0,Hybrid,54.9,3,5,4,2,3,4,3.02,3.73,3.23,9,4.45,Moderate,Moderate
EMP1060,Sales,Individual Contributor,2.3,Remote,47.3,2,5,5,3,3,3,3.89,3.96,2.27,3,3.77,Low,High
EMP1061,Sales,Manager,5.7,Hybrid,42.4,2,1,5,2,2,1,2.42,2.12,3.51,6,2.06,High,Low
EMP1062,Engineering,Individual Contributor,11.1,Remote,35.9,1,3,3,3,5,3,2.41,3.66,1.94,1,4.61,Low,Low
EMP1063,Marketing,Individual Contributor,5.3,Remote,56.0,1,2,3,4,5,1,1.94,2.76,2.62,2,3.54,Moderate,Low
EMP1064,Sales,Individual Contributor,7.4,Hybrid,36.8,3,1,4,5,5,3,3.06,3.8,2.79,1,4.06,Moderate,Moderate
EMP1065,Engineering,Individual Contributor,6.2,Remote,50.9,3,4,2,3,1,3,3.0,3.25,3.16,5,3.47,Moderate,Moderate
EMP1066,Customer Success,Individual Contributor,5.1,On-site,49.5,5,3,2,3,3,2,3.0,3.67,3.01,5,3.58,Moderate,Moderate
EMP1067,Engineering,Individual Contributor,8.6,On-site,43.3,1,3,3,4,5,5,3.34,3.52,2.47,7,3.68,Moderate,Moderate
EMP1068,Marketing,Individual Contributor,5.6,Hybrid,43.2,5,4,2,3,1,4,2.58,3.62,2.1,5,3.69,Low,Low
EMP1069,Engineering,Senior Manager,3.1,Hybrid,32.2,4,4,3,1,2,4,3.43,3.6,2.83,3,3.89,Moderate,Moderate
EMP1070,Operations,Individual Contributor,3.9,On-site,47.3,5,4,5,4,5,4,3.67,4.04,2.37,4,3.71,Low,Moderate
EMP1071,Marketing,Individual Contributor,4.6,Remote,49.3,2,2,4,1,5,1,2.35,1.65,2.96,4,2.36,Moderate,Low
EMP1072,Engineering,Manager,2.6,Remote,37.4,5,5,1,4,1,4,3.49,3.4,2.29,3,3.1,Low,Moderate
EMP1073,Engineering,Individual Contributor,4.1,Remote,43.9,3,3,4,3,3,4,2.79,2.68,2.39,4,3.51,Low,Moderate
EMP1074,Marketing,Individual Contributor,3.7,Hybrid,45.3,4,5,3,1,2,2,3.24,2.63,2.56,4,3.62,Moderate,Moderate
EMP1075,HR,Manager,5.5,Remote,49.1,2,5,3,3,5,3,3.07,3.41,2.21,7,4.71,Low,Moderate
EMP1076,HR,Senior Manager,13.0,Hybrid,45.0,5,4,4,4,3,4,3.49,3.97,2.42,6,4.38,Moderate,Moderate
EMP1077,Marketing,Individual Contributor,4.2,On-site,33.6,4,2,3,3,2,5,3.7,3.3,1.87,3,4.0,Low,Moderate
EMP1078,Engineering,Senior Manager,9.6,On-site,41.3,4,1,2,1,4,4,2.81,2.34,3.57,8,2.86,High,Moderate
EMP1079,Sales,Individual Contributor,5.4,Hybrid,46.6,2,2,2,1,4,1,2.33,2.18,3.25,3,3.02,Moderate,Low
EMP1080,Engineering,Individual Contributor,4.1,Remote,50.9,5,5,3,3,2,1,3.8,2.69,2.48,3,3.97,Moderate,High
EMP1081,IT,Individual Contributor,2.5,Hybrid,40.7,4,2,3,2,1,1,1.14,1.42,2.88,3,2.43,Moderate,Low
EMP1082,Finance,Director,4.1,Hybrid,60.3,4,4,2,4,2,4,3.57,3.32,2.62,2,4.11,Moderate,Moderate
EMP1083,Sales,Individual Contributor,3.9,Remote,31.7,1,1,3,4,2,2,1.74,2.59,2.07,6,3.0,Low,Low
EMP1084,Engineering,Individual Contributor,2.0,Remote,41.1,4,4,3,3,1,5,2.98,3.51,2.77,7,3.47,Moderate,Moderate
EMP1085,Sales,Individual Contributor,2.2,On-site,44.4,1,1,4,2,1,4,2.24,1.85,3.46,3,2.31,High,Low
EMP1086,Sales,Individual Contributor,4.6,Hybrid,43.6,5,5,1,1,3,2,2.84,2.76,3.57,6,2.69,High,Moderate
EMP1087,HR,Individual Contributor,9.5,Hybrid,36.4,5,1,2,5,3,2,3.37,3.32,3.01,3,3.24,Moderate,Moderate
EMP1088,Finance,Individual Contributor,3.4,On-site,48.1,5,1,4,5,1,4,3.32,3.7,2.79,7,4.74,Moderate,Moderate
EMP1089,IT,Individual Contributor,0.9,Hybrid,47.6,3,1,1,3,4,4,2.7,2.61,3.42,3,3.11,High,Low
EMP1090,Sales,Individual Contributor,0.3,Hybrid,45.3,5,2,3,2,4,2,2.98,3.21,4.03,7,3.09,High,Moderate
EMP1091,Engineering,Individual Contributor,1.5,Hybrid,47.3,4,2,3,2,2,2,2.14,1.88,2.5,4,2.66,Moderate,Low
EMP1092,HR,Individual Contributor,5.8,Remote,42.0,2,5,4,4,5,2,3.33,3.08,2.34,2,4.05,Low,Moderate
EMP1093,Marketing,Individual Contributor,1.1,Hybrid,33.7,1,1,3,1,2,4,1.85,1.56,2.63,2,3.14,Moderate,Low
EMP1094,Customer Success,Individual Contributor,6.4,Hybrid,40.0,3,3,5,2,2,2,3.75,3.4,3.24,4,4.16,Moderate,High
EMP1095,Marketing,Senior Manager,5.6,Hybrid,46.1,5,5,4,5,5,1,5.0,4.3,2.06,6,5.0,Low,High
EMP1096,Customer Success,Individual Contributor,3.3,On-site,46.1,5,1,1,1,1,4,1.95,2.47,2.74,2,2.66,Moderate,Low
EMP1097,Customer Success,Individual Contributor,2.0,Hybrid,45.3,2,1,4,1,4,1,2.33,1.52,3.21,3,2.59,Moderate,Low
EMP1098,Sales,Individual Contributor,2.9,Hybrid,48.8,2,2,2,3,2,3,2.13,2.68,3.73,6,2.47,High,Low
EMP1099,Engineering,Individual Contributor,4.6,Hybrid,40.9,3,5,4,2,5,4,3.9,4.23,1.81,5,4.73,Low,High
EMP1100,Engineering,Individual Contributor,1.1,Hybrid,45.2,1,1,3,3,3,3,2.36,2.59,2.54,4,3.78,Moderate,Low
EMP1101,Engineering,Individual Contributor,8.9,Hybrid,49.0,5,1,3,2,2,2,2.92,2.65,2.51,1,3.67,Moderate,Moderate
EMP1102,Finance,Individual Contributor,4.5,Remote,44.4,3,5,5,4,4,2,2.57,3.95,2.56,4,4.5,Moderate,Low
EMP1103,Sales,Individual Contributor,4.9,Hybrid,36.3,4,3,5,3,1,5,3.62,3.83,3.01,5,3.88,Moderate,Moderate
EMP1104,Customer Success,Individual Contributor,5.5,Remote,38.3,4,5,5,3,2,2,3.42,3.85,1.24,2,4.19,Low,Moderate
EMP1105,IT,Individual Contributor,8.4,Hybrid,50.8,3,5,1,5,2,3,2.74,3.48,2.76,0,3.83,Moderate,Moderate
EMP1106,Engineering,Individual Contributor,4.1,Hybrid,54.7,5,3,5,3,5,2,4.4,3.71,2.32,4,4.59,Low,High
EMP1107,Sales,Individual Contributor,5.8,Hybrid,53.2,3,5,1,2,3,4,3.6,2.64,3.95,4,3.4,High,Moderate
EMP1108,Marketing,Individual Contributor,2.0,On-site,46.6,5,1,5,5,3,2,3.95,3.52,2.01,2,4.47,Low,High
EMP1109,Engineering,Individual Contributor,10.8,Hybrid,36.6,2,5,1,3,1,5,2.39,3.05,2.66,5,3.12,Moderate,Low
EMP1110,Engineering,Manager,3.9,Hybrid,45.0,3,3,4,3,4,2,2.76,2.96,2.63,1,3.56,Moderate,Moderate
EMP1111,Engineering,Individual Contributor,2.0,Hybrid,55.9,5,4,4,4,1,3,2.21,3.34,3.69,6,3.44,High,Low
EMP1112,Engineering,Manager,2.5,Hybrid,49.3,3,5,3,3,2,3,3.22,3.12,4.19,11,3.66,High,Moderate
EMP1113,Operations,Individual Contributor,0.5,Remote,43.5,3,2,1,1,2,2,2.16,2.28,2.56,6,2.79,Moderate,Low
EMP1114,Marketing,Individual Contributor,2.5,Remote,49.4,5,1,2,5,3,3,3.17,3.39,1.77,5,4.2,Low,Moderate
EMP1115,Finance,Manager,0.2,Hybrid,36.1,5,1,3,1,4,3,3.44,2.81,2.52,0,4.41,Moderate,Moderate
EMP1116,IT,Senior Manager,6.1,Hybrid,40.1,1,2,4,5,5,5,2.87,3.79,1.61,3,3.96,Low,Moderate
EMP1117,Marketing,Individual Contributor,4.8,Remote,37.4,3,2,1,4,4,4,2.84,3.05,2.51,3,3.29,Moderate,Moderate
EMP1118,Engineering,Individual Contributor,1.5,Remote,48.3,4,5,5,3,2,5,3.85,3.31,3.49,1,4.11,High,High
EMP1119,IT,Manager,3.4,Remote,50.0,3,2,2,3,5,1,2.73,2.82,2.5,5,3.74,Moderate,Moderate
EMP1120,Customer Success,Manager,3.5,On-site,43.9,3,4,4,3,4,5,4.29,3.98,2.15,2,4.27,Low,High
EMP1121,Marketing,Individual Contributor,1.3,Remote,38.9,5,3,3,5,4,2,3.73,3.69,1.46,6,3.92,Low,High
EMP1122,IT,Individual Contributor,3.0,Hybrid,44.9,3,2,1,3,5,4,2.83,3.38,2.58,2,3.76,Moderate,Moderate
EMP1123,Sales,Individual Contributor,3.6,Remote,41.6,3,2,2,1,2,2,1.66,2.51,3.26,4,2.45,Moderate,Low
EMP1124,Engineering,Individual Contributor,2.9,Hybrid,39.4,4,4,1,3,4,1,3.56,3.0,1.0,5,3.64,Low,Moderate
EMP1125,Engineering,Individual Contributor,2.0,Remote,47.4,5,1,5,4,5,4,3.46,3.8,1.67,5,4.09,Low,Moderate
EMP1126,Sales,Individual Contributor,1.5,Remote,39.7,3,1,3,1,2,3,1.97,1.95,2.76,1,3.02,Moderate,Low
EMP1127,Marketing,Individual Contributor,2.8,Hybrid,34.0,2,5,1,3,5,5,4.1,3.77,1.61,3,4.61,Low,High
EMP1128,IT,Manager,2.2,Remote,35.6,1,4,4,3,5,2,3.35,2.19,1.0,7,4.73,Low,Moderate
EMP1129,Engineering,Individual Contributor,5.3,Remote,33.8,4,3,3,2,4,1,3.01,2.68,1.08,3,3.08,Low,Moderate
EMP1130,Customer Success,Individual Contributor,8.7,Remote,46.7,3,3,4,5,2,3,3.29,3.6,1.77,5,4.82,Low,Moderate
EMP1131,Sales,Manager,6.6,Remote,46.1,2,4,1,1,4,5,2.29,2.02,3.19,3,2.6,Moderate,Low
EMP1132,Engineering,Senior Manager,3.7,Remote,45.7,3,3,3,2,1,3,2.47,2.67,2.95,12,2.92,Moderate,Low
EMP1133,Engineering,Individual Contributor,2.1,Remote,49.1,3,1,4,4,1,5,2.72,3.66,2.59,1,3.02,Moderate,Moderate
EMP1134,Sales,Individual Contributor,6.5,Hybrid,53.3,5,3,5,5,2,4,4.1,3.61,3.04,2,4.33,Moderate,High
EMP1135,Operations,Individual Contributor,5.5,Hybrid,40.9,5,3,5,1,5,3,3.2,4.3,2.94,7,3.2,Moderate,Moderate
EMP1136,Sales,Individual Contributor,8.3,Hybrid,47.8,5,4,1,3,4,3,3.6,2.88,2.63,2,4.17,Moderate,Moderate
EMP1137,Customer Success,Individual Contributor,4.1,Remote,33.9,2,4,3,1,4,3,3.3,2.91,2.65,3,3.0,Moderate,Moderate
EMP1138,HR,Individual Contributor,10.4,On-site,54.7,3,3,2,3,2,4,2.67,2.87,2.89,4,2.7,Moderate,Low
EMP1139,Sales,Individual Contributor,4.1,Hybrid,36.3,1,2,3,5,2,1,2.55,2.35,1.75,1,2.94,Low,Low
EMP1140,Operations,Individual Contributor,2.1,Remote,40.0,4,4,5,3,1,5,3.76,3.33,1.6,4,4.06,Low,High
EMP1141,Operations,Individual Contributor,2.4,Hybrid,40.8,5,5,4,4,3,3,3.81,4.5,1.9,8,5.0,Low,High
EMP1142,Engineering,Individual Contributor,5.1,Remote,34.3,5,5,2,3,2,4,3.04,3.67,2.43,4,4.59,Moderate,Moderate
EMP1143,Customer Success,Individual Contributor,2.2,Remote,45.2,3,1,1,4,3,1,1.81,2.83,3.27,6,2.53,Moderate,Low
EMP1144,Sales,Individual Contributor,10.4,Hybrid,46.5,3,3,2,5,2,5,3.29,2.96,2.34,5,3.78,Low,Moderate
EMP1145,Engineering,Individual Contributor,4.8,On-site,43.7,2,2,1,5,5,4,2.99,3.05,2.41,3,3.9,Moderate,Moderate
EMP1146,Engineering,Senior Manager,3.6,Hybrid,34.2,2,1,2,1,5,5,3.17,2.74,1.0,2,3.99,Low,Moderate
EMP1147,Finance,Individual Contributor,3.9,Hybrid,58.9,5,3,1,4,1,3,3.22,3.0,3.0,9,3.76,Moderate,Moderate
EMP1148,Customer Success,Individual Contributor,2.9,On-site,48.8,3,4,1,4,1,1,2.69,2.57,2.67,1,3.29,Moderate,Low
EMP1149,Engineering,Manager,0.7,Remote,63.4,1,5,2,2,3,4,2.8,2.6,5.0,6,2.42,High,Moderate
EMP1150,Engineering,Individual Contributor,2.4,Remote,39.4,4,2,2,2,2,1,1.89,3.05,2.84,7,2.43,Moderate,Low
EMP1151,IT,Individual Contributor,9.6,Hybrid,51.7,3,5,1,2,4,3,3.15,2.84,3.49,0,3.36,High,Moderate
EMP1152,Engineering,Individual Contributor,4.2,Hybrid,50.5,3,4,5,3,1,1,2.95,1.69,3.48,8,3.24,High,Moderate
EMP1153,Engineering,Individual Contributor,7.1,Hybrid,43.0,2,3,2,2,4,1,1.89,2.19,2.88,7,2.4,Moderate,Low
EMP1154,Customer Success,Manager,7.2,On-site,54.9,4,4,3,4,4,2,4.12,3.92,3.68,3,3.13,High,High
EMP1155,Operations,Individual Contributor,3.4,Hybrid,42.2,5,4,4,3,2,1,3.86,2.81,1.17,3,4.25,Low,High
EMP1156,Engineering,Individual Contributor,5.6,Hybrid,42.5,3,5,1,5,3,5,2.97,3.25,2.23,3,4.48,Low,Moderate
EMP1157,Finance,Individual Contributor,0.8,Remote,30.0,5,2,1,1,2,4,2.29,2.3,2.83,3,3.52,Moderate,Low
EMP1158,Marketing,Individual Contributor,9.1,Hybrid,47.9,3,4,4,2,1,2,2.47,2.25,2.27,3,2.97,Low,Low
EMP1159,Engineering,Individual Contributor,8.6,On-site,35.7,5,5,5,5,4,4,4.97,4.49,1.9,4,5.0,Low,High
EMP1160,HR,Individual Contributor,5.0,Hybrid,41.1,4,2,4,4,2,4,3.54,3.88,1.86,7,4.67,Low,Moderate
EMP1161,Sales,Individual Contributor,4.3,Remote,37.8,2,3,2,1,2,3,2.16,2.75,3.05,8,3.67,Moderate,Low
EMP1162,Finance,Director,3.5,Hybrid,42.4,4,3,4,5,2,3,3.62,2.65,1.7,3,3.36,Low,Moderate
EMP1163,Finance,Individual Contributor,7.7,Remote,48.1,1,1,1,1,1,2,1.0,1.05,4.31,3,1.0,High,Low
EMP1164,Customer Success,Individual Contributor,6.0,Remote,45.1,2,5,4,2,3,3,3.31,3.16,2.92,4,2.77,Moderate,Moderate
EMP1165,Engineering,Individual Contributor,2.7,Remote,50.0,4,2,3,4,2,3,2.97,3.22,3.23,4,3.14,Moderate,Moderate
EMP1166,IT,Individual Contributor,1.3,Hybrid,53.9,1,4,2,1,1,3,1.59,2.7,4.34,4,2.77,High,Low
EMP1167,Sales,Individual Contributor,1.1,Hybrid,42.4,3,3,4,5,4,4,3.07,3.06,1.61,2,3.75,Low,Moderate
EMP1168,Engineering,Individual Contributor,7.6,Remote,41.7,3,2,1,2,5,2,2.59,1.34,2.84,6,2.17,Moderate,Low
EMP1169,Engineering,Individual Contributor,3.4,Hybrid,51.7,5,5,2,2,1,4,3.36,4.06,2.91,3,4.12,Moderate,Moderate
EMP1170,Customer Success,Individual Contributor,5.0,Hybrid,52.3,2,1,1,5,5,5,2.21,3.5,2.65,7,3.54,Moderate,Low
EMP1171,Finance,Individual Contributor,3.7,Hybrid,50.2,3,3,5,5,2,4,3.59,3.57,2.51,6,3.62,Moderate,Moderate
EMP1172,Engineering,Senior Manager,1.1,Remote,38.3,2,2,3,1,2,5,2.46,2.67,3.52,5,2.71,High,Low
EMP1173,Customer Success,Individual Contributor,0.8,Hybrid,48.0,3,2,5,3,1,1,2.35,2.7,3.39,4,3.01,Moderate,Low
EMP1174,Engineering,Individual Contributor,2.5,Hybrid,45.8,5,2,3,2,5,1,3.43,2.7,2.54,4,4.03,Moderate,Moderate
EMP1175,Finance,Individual Contributor,2.7,Remote,52.4,4,5,4,1,2,5,3.44,3.6,3.18,4,3.5,Moderate,Moderate
EMP1176,Engineering,Director,2.7,Remote,41.0,5,5,2,5,4,5,4.41,4.48,1.03,2,4.9,Low,High
EMP1177,HR,Individual Contributor,2.7,Hybrid,33.3,1,5,4,1,3,4,3.14,3.67,2.84,5,4.67,Moderate,Moderate
EMP1178,Sales,Individual Contributor,12.4,On-site,49.8,3,4,3,5,3,5,3.92,4.27,2.21,6,4.44,Low,High
EMP1179,Operations,Director,7.0,Hybrid,30.0,1,2,3,4,2,2,2.7,3.04,1.0,4,4.16,Low,Low
EMP1180,Engineering,Manager,4.2,Hybrid,39.9,1,3,3,5,5,1,3.11,2.26,1.32,4,4.13,Low,Moderate
EMP1181,Sales,Manager,3.3,Hybrid,37.8,2,5,1,5,2,1,2.39,2.38,3.01,6,2.18,Moderate,Low
EMP1182,Engineering,Individual Contributor,3.4,Hybrid,37.8,3,5,2,5,5,5,3.73,4.16,1.33,4,4.75,Low,High
EMP1183,Operations,Individual Contributor,5.9,Remote,39.8,1,2,4,3,4,3,2.28,2.01,3.18,2,2.01,Moderate,Low
EMP1184,IT,Individual Contributor,3.3,Hybrid,53.5,4,5,4,5,5,3,4.43,4.69,2.24,4,4.86,Low,High
EMP1185,Engineering,Senior Manager,6.6,On-site,50.7,1,4,5,2,2,5,3.59,3.44,4.29,4,4.03,High,Moderate
EMP1186,Finance,Individual Contributor,4.5,Hybrid,43.2,4,4,3,2,4,2,3.14,2.91,3.27,1,2.94,Moderate,Moderate
EMP1187,Marketing,Individual Contributor,12.5,On-site,52.9,2,5,3,1,1,3,2.66,2.37,3.47,5,2.18,High,Low
EMP1188,Customer Success,Individual Contributor,3.2,Hybrid,37.6,1,2,3,3,3,5,2.3,3.38,1.47,4,4.68,Low,Low
EMP1189,Customer Success,Manager,7.4,Remote,36.6,5,2,4,1,2,2,2.97,2.46,1.52,3,3.26,Low,Moderate
EMP1190,Engineering,Individual Contributor,1.4,On-site,51.0,2,2,5,2,2,2,3.11,3.06,3.06,0,2.83,Moderate,Moderate
EMP1191,Engineering,Individual Contributor,2.1,Remote,49.1,4,1,1,2,2,4,2.65,2.4,4.19,8,3.42,High,Low
EMP1192,IT,Individual Contributor,11.5,Hybrid,41.8,2,5,2,4,4,2,2.41,3.26,2.13,3,3.07,Low,Low
EMP1193,IT,Individual Contributor,6.4,Remote,37.1,1,2,1,5,1,3,2.22,2.27,2.38,8,3.83,Low,Low
EMP1194,Finance,Individual Contributor,5.0,Remote,55.2,3,4,4,2,5,3,3.84,4.25,4.03,10,4.01,High,High
EMP1195,Sales,Individual Contributor,14.5,Hybrid,33.0,3,3,3,1,1,5,2.68,2.45,2.77,8,3.79,Moderate,Low
EMP1196,Sales,Individual Contributor,3.4,Remote,40.8,4,3,2,1,4,5,3.48,2.95,2.76,5,3.81,Moderate,Moderate
EMP1197,HR,Individual Contributor,7.4,Hybrid,46.6,4,2,4,5,2,2,2.84,2.7,2.7,6,3.88,Moderate,Moderate
EMP1198,IT,Individual Contributor,7.7,Hybrid,57.6,3,3,4,5,3,1,3.25,2.7,3.14,4,3.0,Moderate,Moderate
EMP1199,IT,Individual Contributor,9.9,Remote,47.7,4,3,4,4,2,4,3.98,3.93,2.58,5,4.07,Moderate,High
EMP1200,Marketing,Individual Contributor,1.3,Remote,48.4,2,1,2,3,5,1,2.86,2.86,2.44,3,2.6,Moderate,Moderate
